train_reviews,train_ratings
"Small, inexpensive and pleasant",4
In Desperate Need of Renovation,3
I'll be back,5
"Quiet, close to dining and shopping",5
Ideal Location,4
Very friendly staff!!,4
Great Hotel with 5 Star Service!,5
Probably the nicest hotel this grad student will ever stay in,5
Kimptons Are Like A Box of Chocolates....,3
5-star Hotel Experience,5
Very Good Hotel,4
great service,5
Wish the was more Drury Hotels,5
Frequent New Orleans visitor,5
Was there to visit my newborn granddaughter,3
Keep it as your last resort,2
Great Location and large rooms,4
Wonderful Place for Old Friends' Reunion,4
Excellent for the price!,5
You get what you pay for,2
Close to sights,5
Sleep Inn seem to be better,4
Un buon albergo per famiglie,4
Perfectly adeqaute for the price,3
Hotel stay,5
Nice rooms but horrible breakfast,3
Best hotel ever!,5
Great Fishing. Great Place. Great People !,5
Not quite as expected,4
Clean rooms at solid rates in the heart of Carmel,4
"Great location, rooms, pool",5
Family Friendly,5
Frindly personnel,4
Quiet Beach Getaway,5
Excellent service,5
Gem in downtown Atlanta,5
Best View and Accommodations Ever,5
Aloft New Orleans,5
Awesome hotel,5
OK spot to stay..........,3
Family Vacation,5
A Diamond in the Rough!,5
City Chique,5
Good Price,4
Satisfied.,4
First Time in San Francisco,4
Nice place to stay away from central Waikiki,4
Fabulous Location outside ChinaTown entrance,5
Great Location,5
Pleasantly surprised,5
Love this hotel,5
"Great Price, but never again",1
"Some good things, some bad",3
Business stay by Dowchemical,5
Enjoyed my Stay!!,4
Breathtaking luxury ... great location.,5
SERVICE and ATMOSPHERE,4
Best Value in Fort Bragg,5
HORRIBLE!,1
Great experience,5
We like it here,4
A well-run hotel with lots of extras,4
Great hotel,5
"Convenient to business destination, save on taxifares",4
Nice Hotel!,5
First trip to Seattle,4
Wonderful surprise!,5
The place to stay in New Orleans.,5
Disappointed but looking forward to next year,3
A Great Holiday,4
The best location for families and fireworks!,5
Damp and Mold,1
Great Experience,4
Vacation 2014,4
Great Location and very comfortable,5
It's better than nothing we had fun!,3
The Chelsea should be ashamed of themselves,1
We expected more...,3
Elegant get away,5
"Delightful, quiet, and central",4
New Owners since we stayed last...renovations as well,5
Yukky,2
I almost got sick when I saw the room,1
good hotel at a good price,5
wonderful reception,4
Disappointing service,2
Galleria Park Hotel,5
Terrific on-site managers,5
Great place!,5
Love Love Love this hotel,5
Modern Luxury!,5
Big friendly welcome,5
Our Favorite Madison Hotel,5
"Convenient location, friendly staff!",4
"Charming inn close to attractions, can see ocean from balcony!",5
Good place to stay,3
Wonderful Hotel with Great View,5
Wonderful Experience,5
Great Location!,5
Buckhead Hidden Gem,4
Greenwhich Inn,5
Enjoyed our stay!,5
Lovely boutique hotel in the heart of the city,4
Top notch hotel,5
Excellent stay,5
LOVE,5
Good stay,4
Tripped out experience,2
Great View,5
Luxury experience with affordable price,5
Great Hotel,5
Great St Patrick's Day Trip,4
Very nice and elegant,4
Easy,5
"Friendly, Accommodating, PET FRIENDLY!!!",5
Hampton San Diego/Del Mar,3
Always outstanding.,5
Staff was amazing!,5
Rooms were dusty and nasty,2
Beautiful Hotel!,4
Normally like Hamptons - not this one!,2
Undergoing renovations,3
Fine for Jeep Show,3
Great stay! Loved the pool!,4
Inexpensive boutique hotel in Union Square!,4
Great hotel with even better location,5
Clean and Great Service,5
Byron was awesome!,4
This was a peaceful place to stay. Audrey's Motel,4
Fantastic,5
"Started off bad, ended up great",4
Affordable and Convenient location.,5
Comfortable and Great Location,4
have always adored the pearl !,5
Best Breakfast!,5
Outstanding Experience!,5
Glad we stayed,4
Great place with great people !,5
This is not a 5 Star Hotel,3
"Stay at Best Western Casino Inn, Vinton, LA, US",5
Worst Stay EVER,1
Worst hotel ever,1
Noisy room !!,1
Absolutely wonderful experience!,4
The room was not clean and smelled of smoke. We did not...,1
Very close to the Amtrak Train Station,5
Amazing Hotel,5
Don't Understand the meaning of DO NOT DISTURB,2
A excellent choice for the money,5
Excellent Location,5
Excellent stay... Great value!,5
Great stay,5
By far the best Marriott in Center City,5
Relaxing,5
Great,5
Dresses up nicely,4
Not worth your money,2
brand new hotel,4
Great location,4
Great value and good location,4
Gem in Woodstock,5
vacation,3
Walkable,5
Not so good nor too bad...,3
Nice hotel for the price,5
Pleasantly surprised based on the reviews,5
"Nice place, great staff",4
Hotel disguised as resort,4
Clean Hotel with Friendly Staff,5
Excellent problem resolution,4
Final Four In San Antonio,5
"Nice, but disappointing",3
Excellent Location and Room Layout,5
Great Place to stay,5
Best deal in Seattle,5
Scout leader,5
Nice....,4
LOOK NO FURTHER,4
Not up to Homewood Suites Standard,2
It as ok,3
Great suite for families,5
About as good as it gets!,5
Excellent Stay.,5
Classy comfort near Union Square!,5
Pacific Classic Annual Trip,5
Charming Friendly Stay,5
Lackluster Employees,2
The BEST Find in downtown SF,5
My Go-To Hotel,5
Directly on the beach - amazing view,4
Zippity ZaZa,5
Good location,3
Great Hotel,5
Convenience location.,4
"Clean, spacious rooms, and very friendly staff.",5
How the mighty have fallen!,2
"Perfect Location, Very Comfortable, and affordable",5
Close to Everything,5
"Great price and amenities, easy location",5
Convenient and Cute,4
"Convenient to business destination, save on taxifares",4
A great hotel with a great staff.,5
Lovely Hotel in the heart of Seattle,5
Just what I needed,5
Comfort on the Plains,5
I would make this my home.,5
a visual feast,5
"Amenities not working, staff not helpful",2
Great place to stay,5
Amazing Hotel,5
Spacious rooms at reasonable price,4
"Really Nice Property and Staff, Convenient",5
Not bad...,3
75 security deposit,4
"amazing location, space, and stellar fellow travelers",5
Terrible,1
We're not staying here next year. Low point in our AWESOME vacation.,2
A WOW hotel!,5
Great hotel!,5
Excellent Hampton Inn!,5
I've stayed here a dozen times.,4
Tiny Rooms,3
Average at Best,3
THEFT!!!,1
Beware Priceline People,3
